timestamp,symbol,action,price,position,unrealized_profit
2025-06-09T08:46:51.580807,ATOMUSDC,2,4.26178,-1,2.9999999999752447e-05
2025-06-09T08:47:46.530945,ATOMUSDC,2,4.26164,-1,0.00016999999999978144
2025-06-09T08:48:41.468555,ATOMUSDC,2,4.26166,-1,0.0001499999999996504
2025-06-09T13:08:54.691216,ATOMUSDC,2,4.21475,-1,0.0
2025-06-09T13:09:55.053008,ATOMUSDC,0,4.21449,-1,0.00026000000000081513
2025-06-09T13:10:55.076935,ATOMUSDC,0,4.21447,-1,0.000280000000000058
2025-06-09T13:11:55.122155,ATOMUSDC,0,4.2147,-1,5.000000000077165e-05
2025-06-09T13:12:55.415599,ATOMUSDC,2,4.21464,-1,0.00011000000000027654
2025-06-09T13:13:55.699193,ATOMUSDC,2,4.21471,-1,4.000000000026205e-05
2025-06-09T13:14:55.379743,ATOMUSDC,0,4.21466,-1,9.000000000014552e-05
2025-06-09T13:15:55.282243,ATOMUSDC,2,4.21476,-1,-9.999999999621423e-06
2025-06-09T13:16:54.682320,ATOMUSDC,0,4.21478,-1,-2.9999999999752447e-05
2025-06-09T13:17:54.029066,ATOMUSDC,0,4.21486,-1,-0.00010999999999938836
2025-06-09T13:18:53.712680,ATOMUSDC,2,4.21581,-1,-0.0010599999999998388
2025-06-09T13:19:53.388295,ATOMUSDC,2,4.21591,-1,-0.0011599999999996058
2025-06-09T13:20:53.582421,ATOMUSDC,2,4.21584,-1,-0.0010899999999995913
2025-06-09T13:21:53.326482,ATOMUSDC,2,4.21582,-1,-0.0010699999999994603
2025-06-09T13:22:05.656704,ATOMUSDC,2,4.21789,-1,0.0
2025-06-09T13:22:06.509452,ADAUSDC,1,0.659624,1,0.0
2025-06-09T13:23:05.910670,ATOMUSDC,0,4.2198,-1,-0.0019100000000005224
2025-06-09T13:23:05.923489,ADAUSDC,0,0.659911,1,0.0002870000000000372
2025-06-09T13:24:06.560003,ATOMUSDC,2,4.22179,-1,-0.0039000000000006807
2025-06-09T13:24:06.941940,ADAUSDC,1,0.660753,1,0.0011290000000000466
2025-06-09T13:25:06.331604,ATOMUSDC,0,4.22187,-1,-0.003980000000000317
2025-06-09T13:25:06.921842,ADAUSDC,1,0.660744,1,0.0011200000000000099
2025-06-09T13:26:06.838629,ATOMUSDC,1,4.2228,1,0.0
2025-06-09T13:26:06.850370,ADAUSDC,0,0.660816,1,0.0011919999999999709
2025-06-09T13:27:06.238389,ATOMUSDC,0,4.2229,1,9.999999999976694e-05
2025-06-09T13:27:07.062491,ADAUSDC,1,0.660809,1,0.0011849999999999916
2025-06-09T13:28:06.711568,ATOMUSDC,2,4.22306,-1,0.0
2025-06-09T13:28:06.720097,ADAUSDC,0,0.660825,1,0.0012010000000000076
