step,timestamp,action,price,position,realized_pnl,reward
60,2025-06-09T08:33:25.749919,0,4.26615,0,0.0,0.0
61,2025-06-09T08:33:25.750434,1,4.26615,1,0.0,0.0
62,2025-06-09T08:33:25.750962,2,4.2662,-1,5.000000000077165e-05,0.0
63,2025-06-09T08:33:25.751412,2,4.26615,-1,0.0,5.000000000077165e-05
64,2025-06-09T08:33:25.751933,2,4.26596,-1,0.0,0.00018999999999991246
65,2025-06-09T08:33:25.752370,2,4.265,-1,0.0,0.0009600000000000719
66,2025-06-09T08:33:25.752828,2,4.26507,-1,0.0,-7.00000000000145e-05
67,2025-06-09T08:33:25.753262,2,4.265,-1,0.0,7.00000000000145e-05
68,2025-06-09T08:33:25.753690,1,4.26389,1,0.0023100000000004783,-0.001200000000000756
69,2025-06-09T08:33:25.754129,0,4.26186,1,0.0,-0.002029999999999532
70,2025-06-09T08:33:25.754551,2,4.26191,-1,-0.0019799999999996487,0.002029999999999532
71,2025-06-09T08:33:25.754988,2,4.26179,-1,0.0,0.00011999999999989797
72,2025-06-09T08:33:25.755453,2,4.26181,-1,0.0,-1.9999999999242846e-05
73,2025-06-09T08:33:25.755877,0,4.2618,-1,0.0,9.999999999621423e-06
74,2025-06-09T08:33:25.756685,0,4.26178,-1,0.0,2.0000000000131024e-05
75,2025-06-09T08:33:25.757726,2,4.26164,-1,0.0,0.000140000000000029
76,2025-06-09T08:33:25.758396,1,4.26166,1,0.00025000000000030553,-0.00027000000000043656
77,2025-06-09T08:33:25.758933,0,4.26172,1,0.0,6.000000000039307e-05
78,2025-06-09T08:33:25.759433,2,4.26174,-1,7.999999999963592e-05,-6.000000000039307e-05
79,2025-06-09T08:33:25.759890,2,4.26183,-1,0.0,-9.000000000014552e-05
80,2025-06-09T08:33:25.760398,2,4.26188,-1,0.0,-4.999999999988347e-05
81,2025-06-09T08:33:25.760833,1,4.26194,1,-0.00020000000000042206,0.000140000000000029
82,2025-06-09T08:33:25.761260,0,4.26193,1,0.0,-9.999999999621423e-06
83,2025-06-09T08:33:25.761684,1,4.26182,1,0.0,-0.00011000000000027654
84,2025-06-09T08:33:25.762107,1,4.2619,1,0.0,7.999999999963592e-05
85,2025-06-09T08:33:25.762560,2,4.26182,-1,-0.00011999999999989797,4.000000000026205e-05
86,2025-06-09T08:33:25.763048,2,4.26277,-1,0.0,-0.0009499999999995623
87,2025-06-09T08:33:25.763470,2,4.26774,-1,0.0,-0.004970000000000141
88,2025-06-09T08:33:25.763890,2,4.26872,-1,0.0,-0.000980000000000203
89,2025-06-09T08:33:25.764310,2,4.26861,-1,0.0,0.00011000000000027654
90,2025-06-09T08:33:25.764757,2,4.26867,-1,0.0,-6.000000000039307e-05
91,2025-06-09T08:33:25.765207,2,4.26884,-1,0.0,-0.00016999999999978144
92,2025-06-09T08:33:25.765629,1,4.26872,1,-0.006899999999999906,0.007019999999999804
93,2025-06-09T08:33:25.766046,2,4.26874,-1,2.0000000000131024e-05,0.0
94,2025-06-09T08:33:25.766464,1,4.26883,1,-9.000000000014552e-05,0.0
95,2025-06-09T08:33:25.766913,2,4.26871,-1,-0.00012000000000078614,0.0
96,2025-06-09T08:33:25.767356,2,4.26886,-1,0.0,-0.0001500000000005386
97,2025-06-09T08:33:25.767776,2,4.26873,-1,0.0,0.00013000000000040757
98,2025-06-09T08:33:25.768194,1,4.26857,1,0.0001399999999991408,2.0000000000131024e-05
99,2025-06-09T08:33:25.768612,2,4.26839,-1,-0.00018000000000029104,0.0
100,2025-06-09T08:33:25.769150,0,4.26837,-1,0.0,2.0000000000131024e-05
101,2025-06-09T08:33:25.769575,0,4.26834,-1,0.0,2.9999999999752447e-05
102,2025-06-09T08:33:25.770000,0,4.26842,-1,0.0,-7.999999999963592e-05
103,2025-06-09T08:33:25.770420,0,4.26848,-1,0.0,-6.000000000039307e-05
104,2025-06-09T08:33:25.770859,0,4.26821,-1,0.0,0.00027000000000043656
105,2025-06-09T08:33:25.771310,2,4.26818,-1,0.0,2.9999999999752447e-05
106,2025-06-09T08:33:25.771737,2,4.26796,-1,0.0,0.0002199999999996649
107,2025-06-09T08:33:25.772158,2,4.26796,-1,0.0,0.0
108,2025-06-09T08:33:25.772576,2,4.26792,-1,0.0,4.000000000026205e-05
109,2025-06-09T08:33:25.772991,2,4.26785,-1,0.0,7.00000000000145e-05
110,2025-06-09T08:33:25.773435,0,4.26784,-1,0.0,1.0000000000509601e-05
111,2025-06-09T08:33:25.773912,1,4.26796,1,0.0004299999999997084,-0.0005500000000004945
112,2025-06-09T08:33:25.774341,2,4.26791,-1,-5.000000000077165e-05,0.0
113,2025-06-09T08:33:25.774764,2,4.26771,-1,0.0,0.00019999999999953388
114,2025-06-09T08:33:25.775280,2,4.26394,-1,0.0,0.003770000000000273
115,2025-06-09T08:33:25.775753,2,4.26279,-1,0.0,0.0011499999999999844
116,2025-06-09T08:33:25.776188,2,4.26185,-1,0.0,0.0009399999999999409
117,2025-06-09T08:33:25.776617,2,4.26187,-1,0.0,-2.0000000000131024e-05
118,2025-06-09T08:33:25.777047,2,4.26191,-1,0.0,-4.000000000026205e-05
119,2025-06-09T08:33:25.777662,2,4.26188,-1,0.0,3.0000000000640625e-05
120,2025-06-09T08:33:25.778466,0,4.26191,-1,0.0,-3.0000000000640625e-05
121,2025-06-09T08:33:25.779128,2,4.26195,-1,0.0,-3.999999999937387e-05
122,2025-06-09T08:33:25.779628,2,4.26207,-1,0.0,-0.00011999999999989797
123,2025-06-09T08:33:25.780089,2,4.26202,-1,0.0,4.999999999988347e-05
124,2025-06-09T08:33:25.780517,0,4.26195,-1,0.0,7.00000000000145e-05
125,2025-06-09T08:33:25.780943,0,4.26175,-1,0.0,0.00019999999999953388
126,2025-06-09T08:33:25.781367,0,4.26166,-1,0.0,9.000000000014552e-05
127,2025-06-09T08:33:25.781838,1,4.26165,1,0.006259999999999266,-0.006249999999999645
128,2025-06-09T08:33:25.782260,0,4.26171,1,0.0,5.9999999999504894e-05
129,2025-06-09T08:33:25.782674,0,4.26176,1,0.0,4.999999999988347e-05
130,2025-06-09T08:33:25.783087,1,4.26176,1,0.0,0.0
131,2025-06-09T08:33:25.783504,2,4.26186,-1,0.00021000000000004349,-0.00010999999999938836
132,2025-06-09T08:33:25.783952,1,4.2619,1,-3.999999999937387e-05,0.0
133,2025-06-09T08:33:25.784404,2,4.26192,-1,2.0000000000131024e-05,0.0
134,2025-06-09T08:33:25.784827,2,4.26188,-1,0.0,4.000000000026205e-05
135,2025-06-09T08:33:25.785277,2,4.26176,-1,0.0,0.00011999999999989797
136,2025-06-09T08:33:25.785692,2,4.26183,-1,0.0,-7.00000000000145e-05
137,2025-06-09T08:33:25.786138,2,4.26176,-1,0.0,7.00000000000145e-05
138,2025-06-09T08:33:25.786558,2,4.26198,-1,0.0,-0.0002200000000005531
139,2025-06-09T08:33:25.786976,2,4.25779,-1,0.0,0.00419000000000036
140,2025-06-09T08:33:25.787403,2,4.25781,-1,0.0,-2.0000000000131024e-05
141,2025-06-09T08:33:25.787814,2,4.25672,-1,0.0,0.0010900000000004795
142,2025-06-09T08:33:25.788254,2,4.25669,-1,0.0,2.9999999999752447e-05
143,2025-06-09T08:33:25.788677,2,4.25667,-1,0.0,2.0000000000131024e-05
144,2025-06-09T08:33:25.789092,2,4.25673,-1,0.0,-6.000000000039307e-05
145,2025-06-09T08:33:25.789523,2,4.25654,-1,0.0,0.00018999999999991246
146,2025-06-09T08:33:25.789936,1,4.25631,1,0.005609999999999893,-0.005379999999999718
147,2025-06-09T08:33:25.790404,1,4.2563,1,0.0,-9.999999999621423e-06
148,2025-06-09T08:33:25.790828,2,4.25626,-1,-4.999999999988347e-05,9.999999999621423e-06
149,2025-06-09T08:33:25.791244,1,4.25613,1,0.00013000000000040757,0.0
