step,timestamp,action,price,position,realized_pnl,reward
187,2025-06-07T14:34:52.929816,2,0.18491,-1,0.0,0.0
188,2025-06-07T14:34:52.931873,2,0.18491,-1,0.0,0.0
189,2025-06-07T14:34:52.933705,1,0.18486,1,0.00018000000000001348,0.0018000000000001348
190,2025-06-07T14:34:52.935495,2,0.18494,-1,7.999999999999674e-05,0.0017999999999999674
191,2025-06-07T14:34:52.937421,1,0.18497,1,-3.0000000000002247e-05,-0.00030000000000002247
192,2025-06-07T14:34:52.941914,2,0.18489,-1,-7.999999999999674e-05,0.00020000000000003262
193,2025-06-07T14:34:52.944771,2,0.18497,-1,0.0,0.0
194,2025-06-07T14:34:52.947546,1,0.18494,1,-4.999999999999449e-05,-0.0004999999999999449
195,2025-06-07T14:34:52.949841,2,0.18512,-1,0.00018000000000001348,0.0018000000000001348
196,2025-06-07T14:34:52.951860,1,0.1849,1,0.00021999999999999797,0.0021999999999999797
197,2025-06-07T14:34:52.953823,2,0.18483,-1,-7.00000000000145e-05,0.00029999999999985507
198,2025-06-07T14:34:52.956387,2,0.18479,-1,0.0,0.0
199,2025-06-07T14:34:52.959826,2,0.1847,-1,0.0,0.0
200,2025-06-07T14:34:52.965880,2,0.18478,-1,0.0,0.0
201,2025-06-07T14:34:52.968645,2,0.18483,-1,0.0,0.0
202,2025-06-07T14:34:52.971181,2,0.18489,-1,0.0,0.0
203,2025-06-07T14:34:52.973464,1,0.18488,1,-4.999999999999449e-05,-0.0004999999999999449
204,2025-06-07T14:34:52.975903,1,0.18502,1,0.0,0.0
205,2025-06-07T14:34:52.981476,1,0.18504,1,0.0,0.0
206,2025-06-07T14:34:52.983514,1,0.18503,1,0.0,0.0
207,2025-06-07T14:34:52.985973,1,0.18492,1,0.0,0.0
208,2025-06-07T14:34:52.988349,1,0.1852,1,0.0,0.0
209,2025-06-07T14:34:52.990249,1,0.18519,1,0.0,0.0
210,2025-06-07T14:34:52.992103,1,0.18523,1,0.0,0.0
211,2025-06-07T14:34:52.994432,2,0.18535,-1,0.0004699999999999982,0.004699999999999982
212,2025-06-07T14:34:52.999871,1,0.18535,1,0.0,0.0
213,2025-06-07T14:34:53.002435,2,0.18518,-1,-0.00016999999999997573,-0.0016999999999997573
