timestamp,action,price,position,unrealized_profit
2025-06-07T06:03:31.362229,2,104877.37,0,0.0
2025-06-07T06:04:26.960477,2,104877.37,0,0.0
2025-06-07T06:05:23.165462,2,104844.0,0,0.0
2025-06-07T06:06:18.096859,2,104820.0,0,0.0
2025-06-07T06:07:14.205296,2,104820.02,0,0.0
2025-06-07T06:08:10.302363,2,104820.02,0,0.0
2025-06-07T06:09:05.939067,2,104954.9,0,0.0
2025-06-07T06:10:01.617483,2,104820.01,0,0.0
2025-06-07T06:10:57.795198,2,104845.97,0,0.0
2025-06-07T06:11:53.906756,2,104845.13,0,0.0
2025-06-07T06:12:52.788144,2,104804.9,0,0.0
2025-06-07T06:13:47.879086,2,104805.84,0,0.0
2025-06-07T06:14:43.400437,2,104804.89,0,0.0
2025-06-07T06:15:39.485330,2,104804.89,0,0.0
2025-06-07T06:16:35.831580,2,104846.19,0,0.0
2025-06-07T06:17:31.871793,2,104897.15,0,0.0
2025-06-07T06:18:27.379822,2,104873.37,0,0.0
2025-06-07T06:19:23.443810,2,104873.81,0,0.0
2025-06-07T06:20:19.538346,2,104873.58,0,0.0
2025-06-07T06:21:15.563521,2,104896.17,0,0.0
2025-06-07T06:22:11.609459,2,104847.07,0,0.0
2025-06-07T06:23:10.530517,2,104847.06,0,0.0
2025-06-07T06:24:05.480546,2,104875.39,0,0.0
2025-06-07T06:25:01.546094,2,104867.17,0,0.0
2025-06-07T06:25:57.579221,2,104829.82,0,0.0
2025-06-07T06:26:53.069111,2,104822.26,0,0.0
2025-06-07T06:27:49.025620,2,104815.01,0,0.0
2025-06-07T06:28:44.506561,2,104806.16,0,0.0
2025-06-07T06:29:40.502229,2,104806.19,0,0.0
2025-06-07T06:30:36.486552,2,104806.16,0,0.0
2025-06-07T06:31:32.467634,2,104788.32,0,0.0
2025-06-07T06:32:31.514327,2,104788.52,0,0.0
2025-06-07T06:33:27.435374,2,104808.49,0,0.0
2025-06-07T06:34:23.353926,2,104808.5,0,0.0
2025-06-07T06:35:19.337160,2,104819.02,0,0.0
2025-06-07T06:36:15.272227,2,104827.25,0,0.0
2025-06-07T06:37:10.321695,2,104819.03,0,0.0
2025-06-07T06:38:06.276104,2,104826.32,0,0.0
2025-06-07T06:39:01.239739,2,104836.23,0,0.0
2025-06-07T06:39:56.681535,2,104846.65,0,0.0
2025-06-07T06:40:52.026414,2,104848.0,0,0.0
2025-06-07T06:41:47.984716,2,104890.78,0,0.0
2025-06-07T06:42:46.272737,2,104890.79,0,0.0
2025-06-07T06:43:42.176484,2,104890.77,0,0.0
2025-06-07T06:44:38.137571,2,104895.92,0,0.0
2025-06-07T06:45:34.087121,2,104914.79,0,0.0
2025-06-07T06:46:30.072807,2,104889.34,0,0.0
2025-06-07T06:47:25.983622,2,104888.18,0,0.0
2025-06-07T06:48:21.999279,2,104985.01,0,0.0
2025-06-07T06:49:17.336265,2,105000.0,0,0.0
2025-06-07T06:50:13.270714,2,105120.0,0,0.0
2025-06-07T06:51:08.719967,2,105156.98,0,0.0
2025-06-07T06:52:06.467164,2,105199.99,0,0.0
2025-06-07T06:53:01.917857,2,105207.58,0,0.0
2025-06-07T06:53:57.816096,2,105269.26,0,0.0
2025-06-07T06:54:53.752971,2,105254.21,0,0.0
2025-06-07T06:55:49.693189,2,105160.39,0,0.0
2025-06-07T06:56:46.171543,2,105273.79,0,0.0
2025-06-07T06:57:42.038137,2,105254.5,0,0.0
2025-06-07T06:58:38.012830,2,105276.31,0,0.0
2025-06-07T06:59:32.850136,2,105276.44,0,0.0
